Team #,Team Name,Role,Member Name,Phone,Email,Institute,Institute Code,District,State,Problem Statement,Mentor,SPOC,GitHub Link,Approved Date
3,Teeet,Leader,Anand,N/A,shimpi.anand@mitvpu.ac.in,test,Test,Solapur,Maharashtra,Not Selected,MMM,MMM,,2026-01-13
3,Teeet,Member,1,N/A,a1@gmail.com,test,Test,Solapur,Maharashtra,Not Selected,MMM,MMM,,2026-01-13
3,Teeet,Member,2,N/A,shimpi.anand@mitvpus.ac.in,test,Test,Solapur,Maharashtra,Not Selected,MMM,MMM,,2026-01-13
3,Teeet,Member,3,N/A,c1@gmail.com,test,Test,Solapur,Maharashtra,Not Selected,MMM,MMM,,2026-01-13
3,Teeet,Member,4,N/A,d1@gmail.com,test,Test,Solapur,Maharashtra,Not Selected,MMM,MMM,,2026-01-13
4,TestWar,Leader,Anand,N/A,anand02cs004@gmail.com,MIT,MIT,Solapur,Maharashtra,Not Selected,spoc,spoc,,2026-01-13
4,TestWar,Member,1,N/A,aanandshimpi@gmail.com,MIT,MIT,Solapur,Maharashtra,Not Selected,spoc,spoc,,2026-01-13
4,TestWar,Member,2,N/A,b@gmail.com,MIT,MIT,Solapur,Maharashtra,Not Selected,spoc,spoc,,2026-01-13
4,TestWar,Member,3,N/A,c@gmail.com,MIT,MIT,Solapur,Maharashtra,Not Selected,spoc,spoc,,2026-01-13
4,TestWar,Member,4,N/A,d@gmail.com,MIT,MIT,Solapur,Maharashtra,Not Selected,spoc,spoc,,2026-01-13
